Retailer rank,Retailer ID,Annual revenue (€),Country,Product Category,BNPL type,BNPL provider,Year
1,DE-1,179537.71,DE,Toys & Hobbies,Outsourced only BNPL,Klarna,2023
2,DE-2,704605.97,DE,Electronics,Outsourced only BNPL,Klarna,2023
3,DE-3,415842.56,DE,DIY,In-house only BNPL,Klarna,2023
4,DE-4,203486.95,DE,Toys & Hobbies,In-house only BNPL,Ratepay,2023
5,DE-5,107316.46,DE,Fashion & beauty,In-house + Outsourced BNPL,Riverty,2023
6,DE-6,106854.05,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
7,DE-7,0,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
8,DE-8,262849.47,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
9,DE-9,263505.64,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
10,DE-10,115050.36,DE,Electronics,Outsourced only BNPL,Klarna,2023
11,DE-11,279872.26,DE,Electronics,Outsourced only BNPL,PayPal,2023
12,DE-12,141661.25,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
13,DE-13,364508.98,DE,Fashion & beauty,Outsourced only BNPL,Others,2023
14,DE-14,0,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
15,DE-15,547693.32,DE,Electronics,Outsourced only BNPL,Klarna,2023
16,DE-16,434273.66,DE,Electronics,In-house only BNPL,Klarna,2023
17,DE-17,0,DE,Fashion & beauty,In-house only BNPL,Riverty,2023
18,DE-18,56031.16,DE,Fashion & beauty,In-house + Outsourced BNPL,Klarna,2023
19,DE-19,264816.79,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
20,DE-20,0,DE,Toys & Hobbies,In-house only BNPL,Riverty,2023
21,DE-21,606199.9,DE,Electronics,In-house + Outsourced BNPL,PayPal,2023
22,DE-22,586256.02,DE,Electronics,In-house + Outsourced BNPL,Riverty,2023
23,DE-23,466252.69,DE,Electronics,Outsourced only BNPL,Riverty,2023
24,DE-24,595109.03,DE,Electronics,Outsourced only BNPL,Klarna,2023
25,DE-25,362505.16,DE,Fashion & beauty,Outsourced only BNPL,Klarna,2023
26,DE-26,471248.01,DE,Fashion & beauty,In-house + Outsourced BNPL,PayPal,2023
27,DE-27,322279.12,DE,Home & Furniture,Outsourced only BNPL,Others,2023
28,DE-28,507607.31,DE,Fashion & beauty,In-house + Outsourced BNPL,Klarna,2023
29,DE-29,217409.41,DE,Fashion & beauty,Outsourced only BNPL,PayPal,2023
30,DE-30,140198.53,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
31,DE-31,495578.81,DE,Fashion & beauty,No BNPL,No BNPL,2023
32,DE-32,296345.96,DE,Electronics,Outsourced only BNPL,Ratepay,2023
33,DE-33,583080.42,DE,Electronics,Outsourced only BNPL,Klarna,2023
34,DE-34,465750.22,DE,Electronics,In-house + Outsourced BNPL,Riverty,2023
35,DE-35,59589.38,DE,Fashion & beauty,In-house + Outsourced BNPL,Klarna,2023
36,DE-36,134467.57,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
37,DE-37,101022.69,DE,DIY,In-house + Outsourced BNPL,Klarna,2023
38,DE-38,153082.57,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
39,DE-39,167742.86,DE,Fashion & beauty,Outsourced only BNPL,Riverty,2023
40,DE-40,330810.17,DE,Home & Furniture,Outsourced only BNPL,Klarna,2023
41,DE-41,0,DE,Toys & Hobbies,Outsourced only BNPL,PayPal,2023
